[2025-09-02 14:02:52] Ticker: HDFCBANK.NS | Signal: SELL STOCK | Close: 946.40 | EMA9: 950.95 | EMA21: 954.75 | EMA55: 966.72
[2025-09-02 14:02:53] Ticker: ^NSEI | Signal: HOLD | Close: 24591.25 | EMA9: 24651.29 | EMA21: 24634.76 | EMA55: 24699.00
[2025-09-02 14:02:53] Ticker: ^NSEBANK | Signal: SELL STOCK | Close: 53697.45 | EMA9: 53930.14 | EMA21: 54009.78 | EMA55: 54441.58
[2025-09-02 14:02:54] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | Close: 2539.40 | EMA9: 2554.08 | EMA21: 2543.91 | EMA55: 2531.28
[2025-09-02 14:02:54] Ticker: RELIANCE.NS | Signal: SELL STOCK | Close: 1368.00 | EMA9: 1370.02 | EMA21: 1372.37 | EMA55: 1383.88
[2025-09-02 14:04:47] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE : 945.90 
[2025-09-02 20:38:52] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1366.50
[2025-09-02 20:39:44] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE: 944.50
[2025-09-02 20:39:45] Ticker: ^NSEI | Signal: SELL STOCK | PRICE: 24575.00
[2025-09-02 20:39:45] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE: 53627.25
[2025-09-02 20:39:46] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2540.00
[2025-09-02 20:39:46] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1366.50
[2025-09-02 20:40:33] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE: 944.50
[2025-09-02 20:40:34] Ticker: ^NSEI | Signal: SELL STOCK | PRICE: 24575.00
[2025-09-02 20:40:34] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE: 53627.25
[2025-09-02 20:40:34] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2540.00
[2025-09-02 20:40:35] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1366.50
[2025-09-04 22:12:27] Ticker: HDFCBANK.NS | Signal: HOLD | PRICE: 961.25
[2025-09-04 22:12:27] Ticker: ^NSEI | Signal: BUY STOCK | PRICE: 24739.80
[2025-09-04 22:12:28] Ticker: ^NSEBANK | Signal: HOLD | PRICE: 54105.40
[2025-09-04 22:12:28] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2570.10
[2025-09-04 22:12:28] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1359.20
[2025-09-04 22:15:27] Ticker: HDFCBANK.NS | Signal: HOLD | PRICE: 961.25
[2025-09-04 22:15:28] Ticker: ^NSEI | Signal: BUY STOCK | PRICE: 24739.80
[2025-09-04 22:15:28] Ticker: ^NSEBANK | Signal: HOLD | PRICE: 54105.40
[2025-09-04 22:15:28] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2570.10
[2025-09-04 22:15:29] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1359.20
[2025-09-04 22:15:52] Ticker: HDFCBANK.NS | Signal: HOLD | PRICE: 961.25
[2025-09-04 22:15:53] Ticker: ^NSEI | Signal: BUY STOCK | PRICE: 24739.80
[2025-09-04 22:15:53] Ticker: ^NSEBANK | Signal: HOLD | PRICE: 54105.40
[2025-09-04 22:15:53] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2570.10
[2025-09-04 22:15:54] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1359.20
[2025-09-04 22:21:13] Ticker: HDFCBANK.NS | Signal: HOLD | PRICE: 961.25
[2025-09-04 22:21:13] Ticker: ^NSEI | Signal: BUY STOCK | PRICE: 24739.80
[2025-09-04 22:21:14] Ticker: ^NSEBANK | Signal: HOLD | PRICE: 54105.40
[2025-09-04 22:21:14] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2570.10
[2025-09-04 22:21:14] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1359.20
